DestCity,delay_chance
Long Beach,0.12004801920768307
Kahului,0.13136288998357964
Honolulu,0.14459224985540775
Anchorage,0.1447721179624665
Salt Lake City,0.152014652014652
Seattle,0.15863453815261044
Burbank,0.17078052034689792
Santa Ana,0.17362637362637362
Minneapolis,0.17422629769117406
Phoenix,0.18030286523586447
Memphis,0.183184855233853
San Jose,0.1869885433715221
Detroit,0.1880798867746501
Fort Myers,0.18839427662957076
Miami,0.19006889997624138
Portland,0.19090909090909092
Las Vegas,0.19379055859524114
Charlotte,0.19385525131765008
Atlanta,0.19455175169841482
Cincinnati,0.1946058091286307
New Orleans,0.19745729042510926
Sacramento,0.1982724774244209
Orlando,0.19839007211135334
Dallas/Fort Worth,0.1995952197378566
Baltimore,0.20135004821600772
Tucson,0.20184331797235022
San Diego,0.2052469135802469
Houston,0.20756172839506173
St. Louis,0.20913830113462129
Tampa,0.20921787709497205
Indianapolis,0.21040974529346623
Nashville,0.21221771858714533
Los Angeles,0.21403508771929824
Raleigh/Durham,0.21466714133143466
Cleveland,0.2148626817447496
Oakland,0.21703853955375255
Ontario,0.2202713487629689
Reno,0.2203883495145631
Milwaukee,0.2217391304347826
Pittsburgh,0.22488975992160706
Kansas City,0.22526934378060726
Washington,0.22560825755713934
Jacksonville,0.22657342657342658
Fort Lauderdale,0.22725951758209822
Denver,0.2283472487677296
San Antonio,0.22841344108889833
West Palm Beach/Palm Beach,0.2287390029325513
Boston,0.23148421363233992
Albuquerque,0.2321826280623608
San Juan,0.2330508474576271
Dallas,0.23359173126614988
Norfolk,0.23892100192678228
Columbus,0.2437574316290131
Austin,0.2441399206635413
Omaha,0.24456114028507125
Chicago,0.24584568902814302
Buffalo,0.24606299212598426
Louisville,0.2504708097928437
Providence,0.25172074729596855
Richmond,0.25217391304347825
Philadelphia,0.2560333479596314
Oklahoma City,0.258681785967399
Hartford,0.26011560693641617
New York,0.2787319490728873
Newark,0.29507174048658763
San Francisco,0.2999280748022057
